Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
58,Mecklenburg County Public Schools,,921,Virtual Academy,,,Local Education Agency,Public center - Virtual,,,   ,175 Mayfield Drive,,Boydton,VA,23917,434-738-6111,Non-Membership,,
59,Middlesex County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
59,Middlesex County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
59,Middlesex County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
59,Middlesex County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
59,Middlesex County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 205,,Saluda,VA,23149,804-758-2277,Membership,,
59,Middlesex County Public Schools,5.10249E+11,291,Middlesex Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Danielle  Daniel ,P.O. Box  375,,Locust Hill,VA,23092,804-758-2496,Membership,,
59,Middlesex County Public Schools,5.10249E+11,90,Middlesex High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mrs. Susan  Fleet ,PO Box 206,,Saluda,VA,23149,804-758-2132,Membership,,
59,Middlesex County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
59,Middlesex County Public Schools,5.10249E+11,140,St. Clare Walker Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mrs. Elizabeth  Sanders ,PO Box 9,,Locust Hill,VA,23092,804-758-2561,Membership,,
60,Montgomery County Public Schools,5.10252E+11,902,Auburn Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kimberly  Rygas ,1760 AUBURN SCHOOL DR.,,Riner,VA,24149,540-381-6521,Membership,,
60,Montgomery County Public Schools,5.10252E+11,650,Auburn High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Chris  Stewart ,1650 AUBURN SCHOOL DR,,Riner,VA,24149,540-382-5160,Membership,,
60,Montgomery County Public Schools,5.10252E+11,903,Auburn Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Ms. Meggan  Marshall ,4163 Riner Rd,,Riner,VA,24149,540-382-5165,Membership,,
60,Montgomery County Public Schools,5.10252E+11,700,Belview Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Lori  Comer ,3187 Peppers Ferry Rd,,Radford,VA,24141,540-633-3200,Membership,,
60,Montgomery County Public Schools,5.10252E+11,760,Blacksburg High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mr. Adam  Simpson ,3401 Bruin Lane,,Blacksburg,VA,24060,540-951-5706,Membership,,
60,Montgomery County Public Schools,5.10252E+11,710,Blacksburg Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. David  Byrd ,3109 Price's Fork Rd.,,Blacksburg,VA,24060,540-951-5800,Membership,,
60,Montgomery County Public Schools,5.10252E+11,740,Christiansburg Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Malinda  Morgan ,160 Wades Lane,,Christiansburg,VA,24073,540-382-5172,Membership,,
60,Montgomery County Public Schools,5.10252E+11,770,Christiansburg High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Tony  Deibler ,100 Independence Blvd,,Christiansburg,VA,24073,540-382-5178,Membership,,
60,Montgomery County Public Schools,5.10252E+11,671,Christiansburg Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Andrew  Hipple ,1205 Buffalo Drive NW,,Christiansburg,VA,24073,540-394-2180,Membership,,
60,Montgomery County Public Schools,5.10252E+11,780,Christiansburg Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jason  Wimbush ,240 Betty Drive,,Christiansburg,VA,24073,540-382-5175,Membership,,
60,Montgomery County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
60,Montgomery County Public Schools,5.10252E+11,30,Eastern Montgomery Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Marcie  Murphy ,4580 Eastern Montgomery Ln.,,Elliston,VA,24087,540-268-1147,Membership,,
60,Montgomery County Public Schools,5.10252E+11,904,Eastern Montgomery High,9,12,Local Education Agency,Public school - Regular,High,4X4,Michael Todd Lewis ,4695 Crozier Rd,,Elliston,VA,24087,540-268-3010,Membership,,
60,Montgomery County Public Schools,5.10252E+11,600,Falling Branch Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Julie  Vanidestine ,735 Falling Branch Rd,,Christiansburg,VA,24073,540-381-6145,Membership,,
60,Montgomery County Public Schools,5.10252E+11,750,Gilbert Linkous Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michelle  Flynn ,813 Toms Creek Rd,,Blacksburg,VA,24060,540-951-5726,Membership,,
60,Montgomery County Public Schools,5.10252E+11,10,Harding Avenue Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Steven  Sizemore ,429 Harding Avenue,,Blacksburg,VA,24060,540-951-5732,Membership,,
60,Montgomery County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
60,Montgomery County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
60,Montgomery County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
60,Montgomery County Public Schools,5.10252E+11,901,Kipps Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Mark  Crummey ,2801 Prices Fork Rd,,Blacksburg,VA,24060,540-951-5760,Membership,,
60,Montgomery County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,Dr. Keith  Rowland ,650 Wades Lane,,Christiansburg,VA,24073,540-382-5114,Membership,,
60,Montgomery County Public Schools,5.10252E+11,730,Margaret Beeks Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Beth  Poff ,709 Airport Rd,,Blacksburg,VA,24060,540-951-5700,Membership,,
60,Montgomery County Public Schools,5.10252E+11,690,Montgomery Central,,,Local Education Agency,Public center - Alternative,,4X4,Mr. Mike  Stanley ,208 College St.,,Christiansburg,VA,24073,540-381-6100,Non-Membership,,
60,Montgomery County Public Schools,5.10252E+11,810,Montgomery County Governor's STEM Academy,,,Local Education Agency,Public center - Governor's STEM Academy,,,   ,750 Imperial Street SE,,Christiansburg,VA,24073,540-382-5100,Non-Membership,,
60,Montgomery County Public Schools,5.10252E+11,210,Prices Fork Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Melanie  Harrell ,4021 Prices Fork Rd,,Blacksburg,VA,24060,540-951-5736,Membership,,
60,Montgomery County Public Schools,5.10252E+11,290,Shawsville Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. Micah  Mefford ,4179 Old Town Rd,,Shawsville,VA,24162,540-268-2262,Membership,,
60,Montgomery County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,5.10258E+11,710,Nelson County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Kevin  Walker ,6919 Thomas Nelson Hwy,,Lovingston,VA,22949,434-263-8317,Membership,,
62,Nelson County Public Schools,5.10258E+11,730,Nelson Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Dr. Todd  Jones ,6925 Thomas Nelson Highway,,Lovingston,VA,22949,434-263-4801,Membership,,
62,Nelson County Public Schools,5.10258E+11,10,Rockfish River Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Crystal  Choate ,200 Chapel Hollow Rd,,Afton,VA,22920,434-361-1791,Membership,,
62,Nelson County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
62,Nelson County Public Schools,5.10258E+11,20,Tye River Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Tonya Cook Carter ,5198 Thomas Nelson Hwy,,Arrington,VA,22922,434-263-8960,Membership,,
63,New Kent County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
63,New Kent County Public Schools,5.10261E+11,180,George W. Watkins Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Russ  Macomber ,6501 New Kent Hwy,,Quinton,VA,23141,804-966-9660,Membership,,
63,New Kent County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
63,New Kent County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
63,New Kent County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
63,New Kent County Public Schools,5.10261E+11,10,New Kent Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Amy  Stamm ,11705 New Kent Hwy,,New Kent,VA,23124,804-966-9663,Membership,,
63,New Kent County Public Schools,5.10261E+11,20,New Kent High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Chris  Valdrighi ,7365 Egypt Rd,,New Kent,VA,23124,804-966-9671,Membership,,
63,New Kent County Public Schools,5.10261E+11,100,New Kent Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mr. Frank  Wheeler ,7501 Egypt Road,,New Kent,VA,23124,804-966-9655,Membership,,
63,New Kent County Public Schools,,9995,Richmond Technical Center (for New Kent Co use only),,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,,,,,,804-780-6237,Non-Membership,,
63,New Kent County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1404,Achievable Dream Academy,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Terra  Chalmers-Harris ,726 16th St.,,Newport News,VA,23607,757-928-6827,Membership,,
117,Newport News Public Schools,5.10264E+11,1405,Achievable Dream Middle/High,6,12,Local Education Agency,Public school - Regular,Combined,7 A/B,Ms. Courtney  Mompoint ,5720 Marshall Ave.,,Newport News,VA,23605,757-283-7820,Membership,,
117,Newport News Public Schools,,1406,Aviation Academy,,,Local Education Agency,SNP feeding site,,,Dr. Aaron  Smith ,902 B Bland Blvd.,,Newport News,VA,23602,757-886-2745,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1250,B.C. Charles Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Oriel  Robinson-Taylor ,701 Menchville Road,,Newport News,VA,23602,757-886-7750,Membership,,
117,Newport News Public Schools,5.10264E+11,110,B.T. Washington Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Dr. Sean  Callender ,3700 Chestnut Ave,,Newport News,VA,23607,757-928-6860,Membership,,
117,Newport News Public Schools,5.10264E+11,1170,Carver Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Diane  Willis ,6160 Jefferson Ave,,Newport News,VA,23605,757-591-4950,Membership,,
117,Newport News Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1393,Crittenden Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Natia  Smith ,6158 Jefferson Ave,,Newport News,VA,23605,757-591-4900,Membership,,
117,Newport News Public Schools,5.10264E+11,50,David A. Dutrow Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Travis  Humble ,60 Curtis Tignor Rd,,Newport News,VA,23608,757-886-7760,Membership,,
117,Newport News Public Schools,5.10264E+11,1398,Deer Park Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Mary Jo  Anastasio ,11541 Jefferson Ave,,Newport News,VA,23601,757-591-7470,Membership,,
117,Newport News Public Schools,5.10264E+11,1402,Denbigh Early Childhood Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,Lauren  Gray ,15638 Warwick Blvd.,,Newport News,VA,23608,757-886-7789,Membership,,
117,Newport News Public Schools,5.10264E+11,280,Denbigh High,9,12,Local Education Agency,Public school - Regular,High,6 A/B,Michelle  Huffstetler ,259 Denbigh Blvd,,Newport News,VA,23608,757-886-7700,Membership,,
117,Newport News Public Schools,5.10264E+11,130,Discovery STEM Academy,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Christine  Pilger ,1712 Chestnut Ave,,Newport News,VA,23607,757-928-6838,Membership,,
117,Newport News Public Schools,5.10264E+11,20,Ella J. Fitzgerald Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Dr. Micah  Smith ,432 Industrial Park Dr,,Newport News,VA,23608,757-888-3300,Membership,,
117,Newport News Public Schools,5.10264E+11,1260,Ethel M. Gildersleeve Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Ms. Janelle  Spitz ,1 Minton Dr,,Newport News,VA,23606,757-591-4862,Membership,,
117,Newport News Public Schools,5.10264E+11,1407,General Stanford Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Elizabeth  Galbreath ,929 Madison Ave.,,Ft. Eustis,VA,23604,757-888-3200,Membership,,
117,Newport News Public Schools,5.10264E+11,70,George J. McIntosh Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Ethel  Francis ,185 Richneck Rd,,Newport News,VA,23608,757-886-7767,Membership,,
117,Newport News Public Schools,5.10264E+11,1395,Heritage High,9,12,Local Education Agency,Public school - Regular,High,6 A/B,Dr. Earling  Hunter ,5800 Marshall Ave,,Newport News,VA,23605,757-928-6100,Membership,,
117,Newport News Public Schools,5.10264E+11,1455,Heritage High School Governor's STEM Academy,,,Local Education Agency,Public center - Governor's STEM Academy,,,   ,5800 Marshall Ave,,Newport News,VA,23605,757-928-6100,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1210,Hidenwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Brian  Lieberman ,501 Blount Point Rd,,Newport News,VA,23606,757-591-4766,Membership,,
117,Newport News Public Schools,5.10264E+11,1080,Hilton Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Troy  Latuch ,225 River Rd,,Newport News,VA,23601,757-591-4772,Membership,,
117,Newport News Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1270,Homer L. Hines Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Ms. Lisa  Gatz-Daniel ,561 McLawhorne Dr,,Newport News,VA,23601,757-591-4878,Membership,,
117,Newport News Public Schools,5.10264E+11,91,Huntington Middle,6,7,Local Education Agency,Public school - Regular,Elementary,7 A/B,Ebony  Griffin ,5800 Marshall Ave,,Newport News,VA,23605,757-928-6846,Membership,,
117,Newport News Public Schools,5.10264E+11,1411,John Marshall Early Childhood Center,PK,KG,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Vanessa  Keller ,743 24th Street,,Newport News,VA,23607,757-928-6832,Membership,,
117,Newport News Public Schools,5.10264E+11,300,Joseph H. Saunders Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Shannon  Pipkin ,853 Harpersville Rd,,Newport News,VA,23601,757-591-4781,Membership,,
117,Newport News Public Schools,5.10264E+11,1180,Katherine Johnson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Raquel  Cox ,17346 Warwick Blvd,,Newport News,VA,23603,757-888-3320,Membership,,
117,Newport News Public Schools,5.10264E+11,1290,Kiln Creek Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Sean  Holleran ,1501 Kiln Creek Pkwy,,Newport News,VA,23602,757-886-7961,Membership,,
117,Newport News Public Schools,5.10264E+11,310,Knollwood Meadows Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Barbara  Tidd ,826 Moyer Rd,,Newport News,VA,23608,757-886-7783,Membership,,
117,Newport News Public Schools,5.10264E+11,200,L.F. Palmer Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Melody  Camm ,100 Palmer Lane,,Newport News,VA,23602,757-881-5000,Membership,,
117,Newport News Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,12465 Warwick Blvd,,Newport News,VA,23606,757-591-4639,Membership,,
117,Newport News Public Schools,5.10264E+11,1400,Mary Passage Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Jametha  Ruffin ,400 Atkinson Way,,Newport News,VA,23608,757-886-7600,Membership,,
117,Newport News Public Schools,5.10264E+11,1220,Menchville High,9,12,Local Education Agency,Public school - Regular,High,6 A/B,Mr. Robert  Surry ,275 Menchville Rd,,Newport News,VA,23602,757-886-7722,Membership,,
117,Newport News Public Schools,,210,Newport Academy,,,Local Education Agency,SNP feeding site,,,   ,13400 Woodside Ln.,,Newport News,VA,23608,757-874-5504,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1445,Newport News & York County Governor's Health Science Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,   ,12465 Warwick Boulevard,,Newport News,VA,23606,757-283-7850,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1120,Newsome Park Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Darra  White ,4200 Marshall Ave,,Newport News,VA,23607,757-928-6810,Membership,,
117,Newport News Public Schools,5.10264E+11,150,Oliver C. Greenwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Camisha  Davis ,13460 Woodside Lane,,Newport News,VA,23608,757-886-7744,Membership,,
117,Newport News Public Schools,5.10264E+11,1394,Point Option Alternative School,,,Local Education Agency,Public center - Hybrid,,,Chris  Smith ,813 Diligence Dr.,Suite 100,Newport News,VA,23606,757-591-7408,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,270,Richard T. Yates Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Timothy  Edwards ,73 Maxwell Ln,,Newport News,VA,23606,757-881-5450,Membership,,
117,Newport News Public Schools,5.10264E+11,1230,Richneck Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Eric  Goodman ,205 Tyner Drive,,Newport News,VA,23608,757-886-7772,Membership,,
117,Newport News Public Schools,5.10264E+11,1150,Riverside Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Karen  Brown ,1100 Country Club Road,,Newport News,VA,23606,757-591-4740,Membership,,
117,Newport News Public Schools,5.10264E+11,250,Sedgefield Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jacky  Barber ,804 Main Street,,Newport News,VA,23605,757-591-4792,Membership,,
117,Newport News Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1240,Stoney Run Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Karnesha  Ford ,855 Lucas Creek Rd,,Newport News,VA,23608,757-886-7755,Membership,,
117,Newport News Public Schools,5.10264E+11,290,T. Ryland Sanford Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Megan  Auman ,480 Colony Road,,Newport News,VA,23602,757-886-7778,Membership,,
117,Newport News Public Schools,,1465,Virtual Connection,,,Local Education Agency,Public center - Virtual,,,   ,12465 Warwick Blvd,,Newport News,VA,23606,757-283-7850,Non-Membership,,
117,Newport News Public Schools,5.10264E+11,1070,Warwick High,9,12,Local Education Agency,Public school - Regular,High,6 A/B,Dr. Kellie  Mason ,51 Copeland Lane,,Newport News,VA,23601,757-591-4700,Membership,,
117,Newport News Public Schools,5.10264E+11,1410,Watkins Early Childhood Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,Ms. Sue  Waxman ,21 Burns Drive,,Newport News,VA,23601,757-591-4815,Membership,,
117,Newport News Public Schools,5.10264E+11,320,Willis A. Jenkins Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kelly  Stewart ,80 Menchville Road,,Newport News,VA,23602,757-881-5400,Membership,,
117,Newport News Public Schools,5.10264E+11,1396,Woodside High,9,12,Local Education Agency,Public school - Regular,High,6 A/B,Dr. Windy  Nichols ,13450 Woodside Lane,,Newport News,VA,23608,757-886-7530,Membership,,
118,Norfolk Public Schools,5.10267E+11,185,Academy for Discovery at Lakewood,3,8,Local Education Agency,Public school - Regular,Combined,8 A/B,Abbie  Watson ,1701 Alsace Ave,,Norfolk,VA,23509,757-628-2477,Membership,,
118,Norfolk Public Schools,5.10267E+11,760,Azalea Gardens Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Dr. James  Kirk ,7721 Azalea Garden Rd,,Norfolk,VA,23518,757-531-3000,Membership,,
118,Norfolk Public Schools,5.10267E+11,250,Bay View Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Laura  Baez-Akbik ,1434  Bay View Blvd,,Norfolk,VA,23503,757-531-3030,Membership,,
118,Norfolk Public Schools,5.10267E+11,510,Berkley/Campostella Early Childhood Education Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,   ,1530 Cypress St,,Norfolk,VA,23523,757-494-3870,Membership,,
118,Norfolk Public Schools,5.10267E+11,20,Blair Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Patrick  Doyle ,730 Spotswood Ave,,Norfolk,VA,23517,757-628-2400,Membership,,
118,Norfolk Public Schools,5.10267E+11,880,Booker T Washington High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Dr. Margarietta  Hayes ,1111 Park Ave,,Norfolk,VA,23504,757-628-3575,Membership,,
118,Norfolk Public Schools,,2124,Calvert Square,,,Local Education Agency,SNP feeding site,,,   ,975 Bagnall Rd.,,Norfolk,VA,23504,757-628-3830,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,40,Camp Allen Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Deena  Copeland ,501 C Street,,Norfolk,VA,23505,757-451-4170,Membership,,
118,Norfolk Public Schools,,2122,Camp Young,,,Local Education Agency,SNP feeding site,,,   ,145 Deepwater Dr.,,Chesapeake,VA,23320,757-628-3830,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,220,Chesterfield Academy Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dara  Gill ,2915 Westminster Ave,,Norfolk,VA,23504,757-628-2544,Membership,,
118,Norfolk Public Schools,5.10267E+11,550,Coleman Place Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Pamela  Tatem ,2445 Palmyra St.,,Norfolk,VA,23513,757-852-4641,Membership,,
118,Norfolk Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,560,Crossroads Elementary,PK,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Dr. Kristen  Nichols ,8021 Old Ocean View Rd.,,Norfolk,VA,23518,757-531-3050,Membership,,
118,Norfolk Public Schools,5.10267E+11,740,Easton Preschool,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,Dr. Tami  White ,6045 Curlew Dr,,Norfolk,VA,23502,757-892-3290,Membership,,
118,Norfolk Public Schools,,2126,Evening School,,,Local Education Agency,Annex to a public school,,,   ,7101 Granby Street,,Norfolk,VA,23505,757-451-4050,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,90,Ghent K-8,KG,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Dr. Danielle  Belton ,200 Shirley Ave,,Norfolk,VA,23517,757-628-2565,Membership,,
118,Norfolk Public Schools,5.10267E+11,420,Granby Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kathryn  Verhappen ,7101 Newport Ave,,Norfolk,VA,23505,757-451-4150,Membership,,
118,Norfolk Public Schools,5.10267E+11,390,Granby High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Thomas  Smigiel ,7101 Granby St,,Norfolk,VA,23505,757-451-4110,Membership,,
118,Norfolk Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
118,Norfolk Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
118,Norfolk Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,610,Ingleside Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Alana  Balthazar ,976 Ingleside Rd,,Norfolk,VA,23502,757-892-3270,Membership,,
118,Norfolk Public Schools,5.10267E+11,430,Jacox Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lucy  Litchmore ,1300 Marshall Ave,,Norfolk,VA,23504,757-628-2433,Membership,,
118,Norfolk Public Schools,5.10267E+11,131,James Monroe Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Julia  James ,520 W 29th St,,Norfolk,VA,23508,757-628-3500,Membership,,
118,Norfolk Public Schools,5.10267E+11,790,Lake Taylor,KG,8,Local Education Agency,Public school - Regular,Combined,8 A/B,Dr. Melanie  Patterson ,1380 Kempsville Rd,,Norfolk,VA,23502,757-892-3230,Membership,,
118,Norfolk Public Schools,5.10267E+11,840,Lake Taylor High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Latesha  Wade Jenkins ,1384 Kempsville Rd,,Norfolk,VA,23502,757-892-3200,Membership,,
118,Norfolk Public Schools,5.10267E+11,210,Larchmont Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. James  Peterson ,1145 Bolling Ave,,Norfolk,VA,23508,757-451-4180,Membership,,
